code,value
SRB,373.26284991380300
BGR,345.18591346027300
LTU,316.6551165561460
MKD,308.4185303688290
LVA,301.35474319311900
BIH,267.31120491280600
ROU,258.5966291600710
MDA,246.7438860101030
UKR,242.57855320163300
BLR,238.50359873089000
HRV,238.33578973446900
RUS,233.31022769269300
GEO,202.31299597423300
SVK,196.9802360715420
CHN,196.27099323118800
HUN,187.87028608251100
CZE,184.58424568894100
DEU,182.13358567215200
GRC,181.08264886854800
JPN,169.3692727144220
PRK,167.38375331944700
FIN,166.95491098475200
MCO,160.92610377138100
POL,158.48439488448800
AUT,147.11141844773800
EST,141.85548172258200
NOR,140.4687592450150
SWE,136.5616177175260
SVN,129.8338439878200
KAZ,129.1203029153290
KOR,129.0855612988940
PRT,125.17092780223900
KNA,124.02968158586900
PLW,123.71365911263600
BRB,122.27668555752900
ARM,121.72973702866000
SMR,119.7010393553660
MNE,115.63102076675000
URY,115.37685897615200
ITA,114.55668039325400
ESP,112.47939874211500
BEL,112.04713885792500
VNM,111.1941082829880
IDN,110.79280139320800
NLD,110.62539967389600
MAR,109.69723206752800
MUS,109.29186138885900
UZB,108.71490040093800
CAN,108.04170224036400
GBR,107.89646546462700
CUB,107.67684861440700
BMU,103.63816359361500
FRA,103.51428392317100
DNK,103.4023575942420
LBN,99.26335954357040
LKA,98.8535836793645
GRL,98.84736907136430
TTO,97.1805217767729
ALB,96.59753327742340
GUM,95.88957429915100
THA,95.53122650651500
TUN,95.28060553314730
SYC,94.70269398940140
VIR,94.45546424860680
LCA,94.10604855423980
USA,93.83766299030040
VCT,93.34798378078780
AUS,92.77639774670540
ERI,91.75618167723970
DZA,90.5362042160761
CHE,90.01043822388900
AZE,88.92505733520750
BWA,88.90495331761220
JOR,88.47537527258300
TUV,88.28722778104770
AND,88.05063549589100
PRI,85.81867800617470
MMR,84.8557016636715
NZL,84.71426055993580
TKM,84.3198497245434
ZAF,82.82251078056000
TUR,82.62057740212230
MHL,82.1911185244277
ARE,81.89948316225160
ISL,81.87479866852790
SGP,81.3045995959341
GHA,80.51991064208820
JAM,78.58526783480320
MYS,77.79210550580200
BRA,77.64770780994470
CHL,76.45325167629220
SUR,76.064580447195
FJI,75.9236007858529
EGY,74.88485990898380
CPV,74.71223209567810
GRD,74.55779514603040
MNP,74.50137295387300
DMA,74.40254754322790
IRQ,74.30949642906490
KGZ,74.22031450146720
ARG,73.43042386235200
MLT,72.7046916703951
GUY,72.10459580959480
DOM,71.54238477252970
ASM,71.10208227526660
IRN,70.40942445538260
BRN,70.39743558523960
ATG,70.38516930340340
DJI,69.3869688061874
LUX,68.89936006399360
TJK,68.85786444502150
STP,68.4804988263704
VUT,68.33012933683810
LBY,67.06212531577710
KIR,66.21123721538910
KHM,65.89371405780680
COM,64.90062016148150
FSM,64.50225757901530
WSM,64.08487269563430
BGD,63.85943685383890
LAO,63.31513710766150
SAU,61.78782274116070
ISR,61.60232195829870
NAM,61.41151120706710
IRL,61.31332100444170
PHL,60.868631076927300
BHS,60.549028314239400
PRY,60.41128144027200
TLS,60.06788930621220
NRU,59.78307284994450
CYP,59.28753238609920
SLB,58.48482345057840
PAN,58.33748522864960
LSO,57.96929705484140
COG,57.652656069915000
VEN,57.49380281612330
KWT,57.19048858426020
PSE,56.289686920864700
TON,55.929471987866100
SWZ,54.865227960049500
SLE,54.25838107914390
MDG,54.15767420811160
CRI,53.834119764710900
MNG,53.19556077134750
HTI,53.08325067831040
MOZ,52.066053147805900
OMN,51.950660648863300
SDN,51.13911595424750
MEX,51.063020514798200
MDV,50.95378511064530
GAB,50.868380904455800
COL,50.52338945560730
TZA,50.41985082001370
ZWE,50.36965388191970
BTN,50.29389690009050
ECU,49.10517510748230
SYR,48.66650493815230
CMR,48.291413528090100
SLV,48.05154655325270
TGO,47.49740915543250
SEN,47.1230629677356
GIN,46.752444638650600
CAF,46.517086911445400
MRT,45.95687234760630
ZMB,45.92012072064090
RWA,45.71232607976180
GNB,45.41390034490280
GMB,44.87560219098530
YEM,44.58776911182300
PAK,44.57365131726760
NPL,44.57335213796370
IND,44.26752053015130
PER,43.32564580848730
CIV,42.19673211664230
KEN,42.03372897651200
MWI,41.97581534591910
NGA,41.90010486740890
NIC,41.747300609609900
AGO,40.929643263727600
BEN,40.698056282004800
LBR,40.51852301142180
SOM,39.90404732532010
BDI,39.79798358425730
BLZ,39.712049698239000
COD,37.82592433774270
QAT,37.087160816157100
UGA,36.84961293530760
TCD,36.72817888754560
BOL,36.591005046341900
HND,35.85076867293940
SSD,34.25432872743610
MLI,33.79393915572320
AFG,33.66215327982120
NER,33.39300159088150
BHR,32.70482894776200
BFA,32.661607784919700
GNQ,31.271570276315600
PNG,30.430756496422200
GTM,28.80902796521320
ETH,26.13915923115140